,S_1_COMID,S_1_unitarea,S_1_lat,S_1_lon,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
1511,35000854,53.09293356644763,71.21650764293342,180.4339183587806,28,71.21650764293342,180.4339183587806,28,53092934.908317626,28,57602.0,71.25,-179.75,250284379.8416722,57602,7365264.41717813,0.13872400216519723,0.029427583222881644,0.13872400216519715,0.029427583222881647
1517,35008277,137.931669752496,67.76514492151972,178.288644585458,29,67.76514492151972,178.288644585458,29,137931652.71415266,29,79195.0,67.75,178.5,294670503.8072473,79195,32183628.410184093,0.23333026014616765,0.10921903615855749,0.23333026014616753,0.10921903615855752
1515,35008277,137.931669752496,67.76514492151972,178.288644585458,29,67.76514492151972,178.288644585458,29,137931652.71415266,29,79193.0,67.75,178.0,294670503.8072473,79193,9201088.273802325,0.06670759098979631,0.031225006082797584,0.06670759098979628,0.03122500608279757
1516,35008277,137.931669752496,67.76514492151972,178.288644585458,29,67.76514492151972,178.288644585458,29,137931652.71415266,29,79194.0,67.75,178.25,294670503.80729276,79194,96546936.03016633,0.6999621488640366,0.3276437063863903,0.6999621488640363,0.32764370638639034
1519,35046188,25.810139015190853,64.23042976710336,177.71635322658898,30,64.23042976710336,177.71635322658898,30,25810146.973750584,30,99352.0,64.25,177.75,337885902.706482,99352,25810146.973750584,1.0,0.07638716728638303,1.0,0.18278148003755687
1520,35006930,35.74580273822985,71.24110996523443,179.76742592880876,31,71.24110996523443,179.76742592880876,31,35745798.79460255,31,59040.0,71.25,179.75,250284379.84167224,59040,35745798.79460255,1.0,0.14282073382771646,1.0,0.1428207338277165
1523,35027267,31.695628573473037,67.74352199145832,176.74065096094247,32,67.74352199145832,176.74065096094247,32,31695650.0545181,32,79187.0,67.75,176.5,294670503.80729276,79187,2083022.138178513,0.06571949572246068,0.007068987602304295,0.06571949572246066,0.007068987602304293
1524,35027267,31.695628573473037,67.74352199145832,176.74065096094247,32,67.74352199145832,176.74065096094247,32,31695650.0545181,32,79188.0,67.75,176.75,294670503.8072473,79188,29612627.91633959,0.9342805042775395,0.10049403497714889,0.9342805042775393,0.10049403497714891
1526,35046186,51.159165185889435,64.24827003522671,175.78112028474956,33,64.24827003522671,175.78112028474956,33,51159152.56249712,33,99344.0,64.25,175.75,337885902.706482,99344,50124353.754854426,0.9797729486160163,0.1483469814909589,0.9797729486160163,0.1483469814909589
1527,35046186,51.159165185889435,64.24827003522671,175.78112028474956,33,64.24827003522671,175.78112028474956,33,51159152.56249712,33,99345.0,64.25,176.0,337885902.7064298,99345,1034798.8076426894,0.020227051383983678,0.0030625687528069746,0.020227051383983678,0.0030625687528069755
